tri,taille,cas,plage,temps
bulle_basique,5000,aleatoire,grande,0.075948
bulle_basique_v2,5000,aleatoire,grande,0.049101
bulle_optimise,5000,aleatoire,grande,0.048906
cocktail,5000,aleatoire,grande,0.038135
selection,5000,aleatoire,grande,0.026135
insertion,5000,aleatoire,grande,0.013898
comptage,5000,aleatoire,grande,0.003219
fusion,5000,aleatoire,grande,0.001035
rapide,5000,aleatoire,grande,0.000600
bulle_basique,5000,croissant,grande,0.050954
bulle_basique_v2,5000,croissant,grande,0.025482
bulle_optimise,5000,croissant,grande,0.000012
cocktail,5000,croissant,grande,0.000020
selection,5000,croissant,grande,0.025624
insertion,5000,croissant,grande,0.000019
comptage,5000,croissant,grande,0.000055
fusion,5000,croissant,grande,0.000601
rapide,5000,croissant,grande,0.000206
bulle_basique,5000,decroissant,grande,0.070503
bulle_basique_v2,5000,decroissant,grande,0.047298
bulle_optimise,5000,decroissant,grande,0.047282
cocktail,5000,decroissant,grande,0.045084
selection,5000,decroissant,grande,0.028831
insertion,5000,decroissant,grande,0.027464
comptage,5000,decroissant,grande,0.000054
fusion,5000,decroissant,grande,0.000628
rapide,5000,decroissant,grande,0.000272
bulle_basique,5000,constant,grande,0.050933
bulle_basique_v2,5000,constant,grande,0.025484
bulle_optimise,5000,constant,grande,0.000010
cocktail,5000,constant,grande,0.000022
selection,5000,constant,grande,0.025644
insertion,5000,constant,grande,0.000019
comptage,5000,constant,grande,0.001734
fusion,5000,constant,grande,0.000606
rapide,5000,constant,grande,0.043212
bulle_basique,7000,aleatoire,petite,0.157054
bulle_basique_v2,7000,aleatoire,petite,0.103960
bulle_optimise,7000,aleatoire,petite,0.104564
cocktail,7000,aleatoire,petite,0.077428
selection,7000,aleatoire,petite,0.050464
insertion,7000,aleatoire,petite,0.025195
comptage,7000,aleatoire,petite,0.000044
fusion,7000,aleatoire,petite,0.001261
rapide,7000,aleatoire,petite,0.004545
bulle_basique,7000,croissant,petite,0.099760
bulle_basique_v2,7000,croissant,petite,0.050006
bulle_optimise,7000,croissant,petite,0.000015
cocktail,7000,croissant,petite,0.000029
selection,7000,croissant,petite,0.050101
insertion,7000,croissant,petite,0.000025
comptage,7000,croissant,petite,0.000079
fusion,7000,croissant,petite,0.000850
rapide,7000,croissant,petite,0.000304
bulle_basique,7000,decroissant,petite,0.138138
bulle_basique_v2,7000,decroissant,petite,0.092940
bulle_optimise,7000,decroissant,petite,0.092636
cocktail,7000,decroissant,petite,0.088297
selection,7000,decroissant,petite,0.056326
insertion,7000,decroissant,petite,0.053859
comptage,7000,decroissant,petite,0.000076
fusion,7000,decroissant,petite,0.000917
rapide,7000,decroissant,petite,0.000381
bulle_basique,7000,constant,petite,0.099855
bulle_basique_v2,7000,constant,petite,0.049940
bulle_optimise,7000,constant,petite,0.000015
cocktail,7000,constant,petite,0.000029
selection,7000,constant,petite,0.050164
insertion,7000,constant,petite,0.000025
comptage,7000,constant,petite,0.000050
fusion,7000,constant,petite,0.000880
rapide,7000,constant,petite,0.084466
bulle_basique,7000,aleatoire,grande,0.156409
bulle_basique_v2,7000,aleatoire,grande,0.105030
bulle_optimise,7000,aleatoire,grande,0.104277
cocktail,7000,aleatoire,grande,0.078369
selection,7000,aleatoire,grande,0.050903
insertion,7000,aleatoire,grande,0.027143
comptage,7000,aleatoire,grande,0.003405
fusion,7000,aleatoire,grande,0.001572
rapide,7000,aleatoire,grande,0.000876
bulle_basique,7000,croissant,grande,0.099752
bulle_basique_v2,7000,croissant,grande,0.049906
bulle_optimise,7000,croissant,grande,0.000015
cocktail,7000,croissant,grande,0.000029
selection,7000,croissant,grande,0.050053
insertion,7000,croissant,grande,0.000025
comptage,7000,croissant,grande,0.000092
fusion,7000,croissant,grande,0.000876
rapide,7000,croissant,grande,0.000302
bulle_basique,7000,decroissant,grande,0.138144
bulle_basique_v2,7000,decroissant,grande,0.093697
bulle_optimise,7000,decroissant,grande,0.092583
cocktail,7000,decroissant,grande,0.088397
selection,7000,decroissant,grande,0.056307
insertion,7000,decroissant,grande,0.054089
comptage,7000,decroissant,grande,0.000072
fusion,7000,decroissant,grande,0.000857
rapide,7000,decroissant,grande,0.000379
bulle_basique,7000,constant,grande,0.099708
bulle_basique_v2,7000,constant,grande,0.049916
bulle_optimise,7000,constant,grande,0.000015
cocktail,7000,constant,grande,0.000029
selection,7000,constant,grande,0.050060
insertion,7000,constant,grande,0.000026
comptage,7000,constant,grande,0.001129
fusion,7000,constant,grande,0.000916
rapide,7000,constant,grande,0.084408
bulle_basique,9000,aleatoire,petite,0.270687
